team_experience,project_size_kloc,complexity,source_dataset,effort_person_months
-0.3462112250140382,-0.25485525802927894,-0.1518724490388816,0,117.6
-0.3462112250140382,-0.267165013909066,-0.1518724490388816,0,117.6
-0.3462112250140382,-0.4271918403462978,-0.1518724490388816,0,31.2
-0.3462112250140382,-0.4224573188540721,-0.1518724490388816,0,36.0
-0.3462112250140382,-0.4082537543773947,-0.1518724490388816,0,25.2
-0.3462112250140382,-0.4792715767607816,-0.1518724490388816,0,8.4
-0.3462112250140382,-0.4669618208809945,-0.1518724490388816,0,10.8
-0.3462112250140382,0.13053479143790064,-0.1518724490388816,0,352.8
0.3503761720818767,-0.4290856489431882,-0.1518724490388816,0,72.0
0.8147677701458207,-0.31072261163754333,-0.1518724490388816,0,72.0
0.5825719711138486,-0.44328921341986555,-0.1518724490388816,0,24.0
0.8147677701458207,0.44680082711858377,-0.1518724490388816,0,360.0
-0.11401542598206675,-0.3931032856022721,-0.1518724490388816,0,36.0
-0.5784070240460102,0.44680082711858377,-0.1518724490388816,0,215.0
0.5825719711138486,-0.31072261163754333,-0.1518724490388816,0,48.0
-0.8106028230779819,0.44680082711858377,-0.1518724490388816,0,360.0
0.8147677701458207,0.9202529763411632,-0.1518724490388816,0,324.0
0.3503761720818767,-0.20182861731635005,-0.1518724490388816,0,60.0
0.5825719711138486,-0.35806782655980124,-0.1518724490388816,0,48.0
0.11818037304990522,-0.19235957433189846,-0.1518724490388816,0,60.0
-0.3462112250140382,-0.31356332453287883,-0.1518724490388816,0,60.0
-0.3462112250140382,0.13053479143790064,-0.1518724490388816,0,300.0
-0.3462112250140382,-0.22076670328525322,-0.1518724490388816,0,120.0
-0.11401542598206675,-0.35806782655980124,-1.4062263799896433,0,90.0
-0.11401542598206675,-0.14027983791741472,-0.1518724490388816,0,210.0
-0.11401542598206675,-0.4054130414820592,-1.4062263799896433,0,48.0
0.11818037304990522,-0.3542802093660206,-0.1518724490388816,0,70.0
0.11818037304990522,-0.04085488658067305,-0.1518724490388816,0,239.0
0.11818037304990522,-0.34575807068001413,-0.1518724490388816,0,82.0
0.11818037304990522,-0.3788997211255947,-0.1518724490388816,0,62.0
0.11818037304990522,-0.1914126700334533,-0.1518724490388816,0,170.0
